"제품명","가격","이미지주소"
"1","PRISM_HD_LED_32형_TV","132050","https://thumbnail11.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/12/12/11/0/b85a0d77-bf94-45e6-b425-163452e7d307.jpg"
"2","티비드_32형_HD_TV HT320","130150","https://thumbnail14.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/12/11/16/6/afdb3c42-f013-4a51-9f20-c150f0926948.jpg"
"3","유맥스_HD_LED_32형_TV_자","148000","https://thumbnail12.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/04/09/17/9/3ee9741e-0c89-49de-9fa5-09fa9ac497e3.jpg"
"4","와이드뷰_32인치HD_TV_삼성패널","139000","https://thumbnail15.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/02/23/15/3/a62090b2-3306-4883-b243-4546da1b69fd.jpg"
"5","PRISM_FULL_HD_40형_T","203300","https://thumbnail15.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/09/19/15/3/9e6a7a90-6dc9-4b62-822f-54fa270cd179.jpg"
"6","PRISM_4K_UHD_TV_자가설","298300","https://thumbnail15.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/11/27/12/1/62832bca-fb27-4bde-a3c9-2633d4e7bfd3.jpg"
"7","티비드_55형_UHD_TV_UT55","360050","https://thumbnail13.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/04/05/17/3/965a2a28-b176-438e-b85c-a91580f150d4.jpg"
"8","삼성전자_F_HD_LED_43형_T","413250","https://thumbnail13.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/12/01/21/7/88f70bf4-3111-443f-aba4-ee63000bdded.jpg"
"9","유맥스_F_HD_LED_109.2","272000","https://thumbnail11.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2017/10/31/13/6/d6624545-b254-439a-a9a8-e43aab1e8438.jpg"
"10","프리즘_43형_4K_UHD_LED","250800","https://thumbnail11.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/10/17/11/2/87bf4958-70c4-4227-94dc-f9c792c27399.jpg"
"11","삼성전자_HD_32형_TV_자가설치","282240","https://thumbnail11.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2017/04/27/17/1/ea445f53-320e-4c3a-a55c-d9891182a08c.jpg"
"12","프리즘_F_HD_43형_TV_자가설","227050","https://thumbnail12.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/10/15/17/5/80f302a5-a517-440e-a7b7-c2a14d7daa4a.jpg"
"13","스마트라_F_HD_LED_43인치","237000","https://thumbnail14.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/11/15/20/2/20c7516e-84ce-4822-ba83-3abeabff19b9.jpg"
"14","제네시스_F_HD_40형_TV_GS","199680","https://thumbnail15.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/11/26/10/6/f5d588a6-9586-4894-8b59-3e87810f2882.jpg"
"15","이엔티비_EN-SL320S_32형(","145000","https://thumbnail11.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/11/06/12/9/5ab24ac3-3f38-4657-9fd1-5e0989a919a7.jpg"
"16","49인치_55인치_65인치_커브드","53000","https://thumbnail13.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/08/16/18/1/469e5e7a-9a31-4428-9bfc-6d2a97135c4c.jpg"
"17","와이드뷰_LED_40인치_FHD_T","229000","https://"
"18","제네시스_32인치_HD_TV_GS3","132050","https://thumbnail15.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/11/02/15/3/3096c076-6005-43de-8fc6-a37b9b230514.jpg"
"19","필립스_55인치_UHD_TV_55P","509000","https://"
"20","아남_HD_(720)_LED_81","179550","https://"
"21","프리즘_HD_LED_32_형_프리미","136800","https://thumbnail12.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/06/25/19/0/aa4caf2b-2133-4bad-8ddf-2b065c32623f.jpg"
"22","와이드뷰_55인치_커브드_TV_삼성","479000","https://"
"23","유맥스_MX32H_32인치_LED","133000","https://"
"24","넥스디지탈_55인치_UHD_TV_[","449000","https://"
"25","필립스_50인치_UHD_TV_50P","396000","https://thumbnail12.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/10/31/16/3/fa4dbb3b-4441-4a39-8665-335b3415f689.jpg"
"26","인켈_4K_UHD_(2160)_LE","345640","https://thumbnail11.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/06/19/3504532304/c4e9542e-23b1-4fad-b853-982eb142aa4e.jpg"
